Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Device,Lookback,Epochs,FinalRefit,ThresholdMode
DL_MLP_L5,val,0.4774999999999999,0.5846153846153846,0.5847537878787878,0.5846153846153846,0.5846153846153846,0.59375,0.5757575757575758,0.5757575757575758,0.59375,0.5658735795454546,0.16950757575757575,0.7446135904386929,0.2687049582551766,76,52,76,56,0.49230769230769234,0.5076923076923077,1.0,260,deep_learning,MLP,cuda,5,22,train_full,val_f1_macro
DL_MLP_L5,test,0.4774999999999999,0.4928571428571429,0.4929930383908932,0.505800464037123,0.4925090339745517,0.49099099099099097,0.5215311004784688,0.494949494949495,0.46445497630331756,0.4946710809768929,-0.014036700129140899,0.7518845024180569,0.27497060356541075,218,226,196,200,0.5285714285714286,0.4976190476190476,1.0,840,deep_learning,MLP,cuda,5,22,train_full,val_f1_macro
DL_MLP_L5_th05,test,0.5,0.48928571428571427,0.48913240663053587,0.47102342786683105,0.48867627089544086,0.4860050890585242,0.4569377990430622,0.49217002237136465,0.5213270142180095,0.4946710809768929,-0.021779991474462718,0.7518845024180569,0.27497060356541075,191,202,220,227,0.46785714285714286,0.4976190476190476,1.0,840,deep_learning,MLP,cuda,5,22,train_full,fixed_0.5
DL_GRU_L5,val,0.5874999999999999,0.55,0.5497159090909092,0.5617977528089888,0.5496735799618067,0.5555555555555556,0.5681818181818182,0.544,0.53125,0.5333806818181819,0.09949366763261819,0.7138882397543238,0.2594756839676726,75,60,68,57,0.5192307692307693,0.5076923076923077,1.0,260,deep_learning,GRU,cuda,5,15,train_full,val_f1_macro
DL_GRU_L5,test,0.5874999999999999,0.5,0.4980498424000544,0.14979757085020243,0.39783301814010963,0.4868421052631579,0.08851674641148326,0.5013089005235603,0.9075829383886256,0.520187532597111,-0.006798147706065653,0.7012685026811634,0.25384293954138915,37,39,383,381,0.09047619047619047,0.4976190476190476,1.0,840,deep_learning,GRU,cuda,5,15,train_full,val_f1_macro
DL_GRU_L5_th05,test,0.5,0.5190476190476191,0.5185605115762262,0.4627659574468085,0.5137105649303009,0.5209580838323353,0.41626794258373206,0.5177865612648221,0.6208530805687204,0.520187532597111,0.03792414623541491,0.7012685026811634,0.25384293954138915,174,160,262,244,0.3976190476190476,0.4976190476190476,1.0,840,deep_learning,GRU,cuda,5,15,train_full,fixed_0.5
DL_MLP_L10,val,0.49999999999999994,0.5923076923076923,0.5910274621212122,0.6267605633802817,0.5888040105037002,0.5855263157894737,0.6742424242424242,0.6018518518518519,0.5078125,0.5698390151515151,0.18469736899757339,0.7274748575463043,0.26207193561177244,89,63,65,43,0.5846153846153846,0.5076923076923077,1.0,260,deep_learning,MLP,cuda,10,21,train_full,val_f1_macro
DL_MLP_L10,test,0.49999999999999994,0.4976190476190476,0.497562303000068,0.49033816425120774,0.49751649996597946,0.4951219512195122,0.48564593301435405,0.5,0.509478672985782,0.5122281684391936,-0.004876721209525296,0.8020076194488222,0.28883937610205607,203,207,215,215,0.4880952380952381,0.4976190476190476,1.0,840,deep_learning,MLP,cuda,10,21,train_full,val_f1_macro
DL_MLP_L10_th05,test,0.5,0.4976190476190476,0.497562303000068,0.49033816425120774,0.49751649996597946,0.4951219512195122,0.48564593301435405,0.5,0.509478672985782,0.5122281684391936,-0.004876721209525296,0.8020076194488222,0.28883937610205607,203,207,215,215,0.4880952380952381,0.4976190476190476,1.0,840,deep_learning,MLP,cuda,10,21,train_full,fixed_0.5
DL_GRU_L10,val,0.40249999999999997,0.5884615384615385,0.5845170454545454,0.6747720364741642,0.5572813061951973,0.5634517766497462,0.8409090909090909,0.6666666666666666,0.328125,0.5609611742424242,0.19722540877738096,0.7378046835100365,0.26500537551788694,111,86,42,21,0.7576923076923077,0.5076923076923077,1.0,260,deep_learning,GRU,cuda,10,34,train_full,val_f1_macro
DL_GRU_L10,test,0.40249999999999997,0.513095238095238,0.5135774053833421,0.5568797399783315,0.5082945595532344,0.5089108910891089,0.6148325358851675,0.5194029850746269,0.41232227488151657,0.5193428422413207,0.027728287889762886,0.7885189227881638,0.28820033411349916,257,248,174,161,0.6011904761904762,0.4976190476190476,1.0,840,deep_learning,GRU,cuda,10,34,train_full,val_f1_macro
DL_GRU_L10_th05,test,0.5,0.513095238095238,0.5130558516066124,0.5078219013237064,0.5130393369987201,0.5108958837772397,0.5047846889952153,0.5152224824355972,0.5213270142180095,0.5193428422413207,0.02611503450053082,0.7885189227881638,0.28820033411349916,211,202,220,207,0.49166666666666664,0.4976190476190476,1.0,840,deep_learning,GRU,cuda,10,34,train_full,fixed_0.5
DL_MLP_L20,val,0.49749999999999994,0.5692307692307692,0.5699573863636364,0.552,0.5685925925925925,0.5847457627118644,0.5227272727272727,0.5563380281690141,0.6171875,0.5610203598484849,0.14049806595323716,0.69878061505966,0.25200325254160166,69,49,79,63,0.45384615384615384,0.5076923076923077,1.0,260,deep_learning,MLP,cuda,20,8,train_full,val_f1_macro
DL_MLP_L20,test,0.49749999999999994,0.49166666666666664,0.4924771536769541,0.564729867482161,0.47692859611590166,0.4920071047957371,0.6626794258373205,0.49097472924187724,0.3222748815165877,0.48744302591895505,-0.01600156537561979,0.7457636172426194,0.2731311206223758,277,286,136,141,0.6702380952380952,0.4976190476190476,1.0,840,deep_learning,MLP,cuda,20,8,train_full,val_f1_macro
DL_MLP_L20_th05,test,0.5,0.49642857142857144,0.497193813918683,0.5652620760534429,0.4834796943209223,0.4954954954954955,0.6578947368421053,0.4982456140350877,0.33649289099526064,0.48744302591895505,-0.005926822305378361,0.7457636172426194,0.2731311206223758,275,280,142,143,0.6607142857142857,0.4976190476190476,1.0,840,deep_learning,MLP,cuda,20,8,train_full,fixed_0.5
DL_GRU_L20,val,0.5025,0.573076923076923,0.5706676136363636,0.6336633663366337,0.5610713145047224,0.5614035087719298,0.7272727272727273,0.5955056179775281,0.4140625,0.5378196022727273,0.14891872645943427,0.6969778084540614,0.25167747269683133,96,75,53,36,0.6576923076923077,0.5076923076923077,1.0,260,deep_learning,GRU,cuda,20,3,train_full,val_f1_macro
DL_GRU_L20,test,0.5025,0.5,0.499138302455838,0.3877551020408163,0.48260994538660534,0.4962686567164179,0.3181818181818182,0.5017482517482518,0.6800947867298578,0.5035658404952493,-0.0018486887817275267,0.6971354817323481,0.2519677304522124,133,135,287,285,0.319047619047619,0.4976190476190476,1.0,840,deep_learning,GRU,cuda,20,3,train_full,val_f1_macro
DL_GRU_L20_th05,test,0.5,0.5023809523809524,0.50157599945577,0.3994252873563218,0.48731426969442104,0.5,0.33253588516746413,0.50355871886121,0.6706161137440758,0.5035658404952493,0.003349190645067921,0.6971354817323481,0.2519677304522124,139,139,283,279,0.33095238095238094,0.4976190476190476,1.0,840,deep_learning,GRU,cuda,20,3,train_full,fixed_0.5
DL_MLP_L40,val,0.49999999999999994,0.5538461538461539,0.5518465909090908,0.6081081081081081,0.5451254826254827,0.5487804878048781,0.6818181818181818,0.5625,0.421875,0.544921875,0.10741986713251504,0.6954602074879038,0.25086928748636295,90,74,54,42,0.6307692307692307,0.5076923076923077,1.0,260,deep_learning,MLP,cuda,40,5,train_full,val_f1_macro
DL_MLP_L40,test,0.49999999999999994,0.5095238095238095,0.5090251479625388,0.45066666666666666,0.5038279569892473,0.5090361445783133,0.4043062200956938,0.5098425196850394,0.6137440758293838,0.5142633619809973,0.01845983414399228,0.716222845816389,0.26030863717828523,169,163,259,249,0.3952380952380952,0.4976190476190476,1.0,840,deep_learning,MLP,cuda,40,5,train_full,val_f1_macro
DL_MLP_L40_th05,test,0.5,0.5095238095238095,0.5090251479625388,0.45066666666666666,0.5038279569892473,0.5090361445783133,0.4043062200956938,0.5098425196850394,0.6137440758293838,0.5142633619809973,0.01845983414399228,0.716222845816389,0.26030863717828523,169,163,259,249,0.3952380952380952,0.4976190476190476,1.0,840,deep_learning,MLP,cuda,40,5,train_full,fixed_0.5
DL_GRU_L40,val,0.5175,0.5961538461538461,0.5955255681818181,0.6153846153846154,0.5951417004048583,0.5957446808510638,0.6363636363636364,0.5966386554621849,0.5546875,0.5754616477272728,0.19171607919022804,0.702310567909137,0.2524010165805938,84,57,71,48,0.5423076923076923,0.5076923076923077,1.0,260,deep_learning,GRU,cuda,40,27,train_full,val_f1_macro
DL_GRU_L40,test,0.5175,0.5190476190476191,0.518537835325064,0.45989304812834225,0.5132083266392784,0.5212121212121212,0.41148325358851673,0.5176470588235295,0.6255924170616114,0.5362139731059661,0.037956951415199516,0.716575634327421,0.2602419328141412,172,158,264,246,0.39285714285714285,0.4976190476190476,1.0,840,deep_learning,GRU,cuda,40,27,train_full,val_f1_macro
DL_GRU_L40_th05,test,0.5,0.5166666666666667,0.5163155627111726,0.47680412371134023,0.5138445397317764,0.5167597765363129,0.44258373205741625,0.516597510373444,0.590047393364929,0.5362139731059661,0.03299220836654358,0.716575634327421,0.2602419328141412,185,173,249,233,0.4261904761904762,0.4976190476190476,1.0,840,deep_learning,GRU,cuda,40,27,train_full,fixed_0.5
