feature,vif,status
gdelt_tone_7d,12.638426287027986,critical
conflict_intensity_7d_log1p,11.15664506243256,critical
conflict_event_count_log1p,10.294172637994798,critical
fatalities_7d_log1p,8.966921165540077,warning
fatalities_log1p,7.707927808969581,warning
gdelt_tone_lag1,7.521166679809057,warning
gdelt_events_log1p,6.508105976441445,warning
gdelt_volume_lag1_log1p,6.091429665572853,warning
gdelt_tone_30d,5.595884789078935,warning
gdelt_goldstein_7d,2.9683713689840787,ok
gdelt_goldstein,2.661192002157426,ok
sp500_return,2.2290149176006118,ok
vix_return_slog1p,2.2176633461080337,ok
inventory_zscore,2.1013573008878397,ok
vix_lag1_log1p,2.034609913159161,ok
yield_spread,1.869877082513031,ok
day_of_week_cos,1.4794055162551811,ok
inventory_change_pct,1.3804188121355976,ok
month_sin,1.321134119973597,ok
month_cos,1.1892015489804764,ok
day_of_week_sin,1.1844138297414046,ok
oil_return,1.1127688988742201,ok
net_imports_change_pct_slog1p,1.04498578800706,ok
production_change_pct_slog1p,1.0362673574924337,ok
usd_return,1.0332684607595888,ok
oil_return_lag1,1.0261768780780882,ok
oil_return_lag2,1.0208519565154393,ok
