,feature,pointbiserial_r,mw_p_value,significant_MW,mutual_info,VIF,status,abs_r,recommendation
0,vix_return,-0.2118,0.0,True,0.033225231185413096,2.13,OK,0.2118,KEEP
1,sp500_return,0.2076,0.0,True,0.049270785558058305,2.1,OK,0.2076,KEEP
2,usd_return,-0.1113,0.0,True,0.047255992298359306,1.03,OK,0.1113,KEEP
3,fed_rate_change,-0.0571,0.0179,True,0.00392143080939511,1.04,OK,0.0571,KEEP
4,inventory_change_pct,-0.057,0.003,True,0.0,1.44,OK,0.057,CONSIDER REMOVING
5,day_of_week,0.0526,0.0164,True,0.028681384263543386,5.34,WARNING,0.0526,KEEP
6,conflict_intensity_7d,0.0508,0.0196,True,0.0036703310552417268,29.1,CRITICAL,0.0508,REMOVE
7,gdelt_goldstein_7d,0.0501,0.0303,True,0.012691055552312314,4.91,OK,0.0501,KEEP
8,gdelt_tone_lag1,0.0463,0.0018,True,0.01162536848876039,85.06,CRITICAL,0.0463,KEEP
9,gdelt_events,-0.0462,0.0643,False,0.005508051977427764,45.68,CRITICAL,0.0462,KEEP
10,oil_return_lag1,-0.0413,0.1239,False,0.0,1.04,OK,0.0413,CONSIDER REMOVING
11,fatalities,-0.0403,0.4439,False,0.0,7.68,WARNING,0.0403,CONSIDER REMOVING
12,geopolitical_stress_index,-0.0387,0.0225,True,0.005466585989014172,831.79,CRITICAL,0.0387,KEEP
13,gdelt_tone_7d,0.0368,0.0223,True,0.0,182.25,CRITICAL,0.0368,REMOVE
14,inventory_zscore,-0.0346,0.0859,False,0.01370161635170275,2.7,OK,0.0346,KEEP
15,cpi_lag,0.0334,0.0191,True,0.00482073662411886,1037.67,CRITICAL,0.0334,REMOVE
16,gdelt_goldstein,0.0311,0.119,False,0.001285930874327379,12.16,CRITICAL,0.0311,REMOVE
17,real_rate,-0.0298,0.194,False,0.0,7.85,WARNING,0.0298,CONSIDER REMOVING
18,gdelt_volume_lag1,-0.029,0.1992,False,0.0,1333.51,CRITICAL,0.029,REMOVE
19,unemployment_lag,0.0266,0.5092,False,0.0,17.67,CRITICAL,0.0266,REMOVE
20,oil_return_lag2,-0.0253,0.0843,False,0.0023216315220835337,1.04,OK,0.0253,KEEP
21,gdelt_tone_30d,0.0223,0.0293,True,0.01545491851341585,59.65,CRITICAL,0.0223,KEEP
22,conflict_event_count,-0.0181,0.2967,False,0.009768099356491922,9.64,WARNING,0.0181,KEEP
23,month,-0.0135,0.5356,False,0.004531982856573302,5.93,WARNING,0.0135,KEEP
24,oil_volatility_7d,-0.0133,0.1112,False,0.009222718957393683,6.7,WARNING,0.0133,KEEP
25,fed_rate_regime,0.0104,0.6449,False,0.0,7.46,WARNING,0.0104,CONSIDER REMOVING
26,production_change_pct,-0.0066,0.2125,False,0.0,1.04,OK,0.0066,CONSIDER REMOVING
27,vix_lag1,-0.0037,0.9633,False,0.01288572046534453,16.23,CRITICAL,0.0037,KEEP
28,net_imports_change_pct,0.0007,0.0374,True,0.0,1.05,OK,0.0007,CONSIDER REMOVING
29,fatalities_7d,0.0002,0.5919,False,0.01574166831825674,15.08,CRITICAL,0.0002,KEEP
30,yield_spread,-0.0001,0.7548,False,0.007590798539365284,9.45,WARNING,0.0001,KEEP
