,feature,mutual_info
12,sp500_return,0.049270785558058305
11,usd_return,0.047255992298359306
13,vix_return,0.033225231185413096
29,day_of_week,0.028681384263543386
22,fatalities_7d,0.01574166831825674
7,gdelt_tone_30d,0.01545491851341585
18,inventory_zscore,0.01370161635170275
26,vix_lag1,0.01288572046534453
8,gdelt_goldstein_7d,0.012691055552312314
27,gdelt_tone_lag1,0.01162536848876039
9,conflict_event_count,0.009768099356491922
14,oil_volatility_7d,0.009222718957393683
0,yield_spread,0.007590798539365284
5,gdelt_events,0.005508051977427764
23,geopolitical_stress_index,0.005466585989014172
1,cpi_lag,0.00482073662411886
30,month,0.004531982856573302
15,fed_rate_change,0.00392143080939511
21,conflict_intensity_7d,0.0036703310552417268
25,oil_return_lag2,0.0023216315220835337
4,gdelt_goldstein,0.001285930874327379
3,inventory_change_pct,0.0
6,gdelt_tone_7d,0.0
10,fatalities,0.0
2,unemployment_lag,0.0
16,fed_rate_regime,0.0
17,real_rate,0.0
19,production_change_pct,0.0
20,net_imports_change_pct,0.0
24,oil_return_lag1,0.0
28,gdelt_volume_lag1,0.0
