feature,perm_mean,perm_std
yield_spread,0.027218934911242564,0.011443242370303945
ret_std_5,0.01538461538461533,0.006849607634787114
sp500_return,0.014792899408283966,0.011381884060160542
oil_return_lag2,0.014201183431952624,0.004348206643993829
macd_hist,0.013609467455621282,0.011774999255699622
oil_return_lag3,0.012426035502958533,0.009051513929454628
oil_return,0.011834319526627168,0.011981335343974314
gdelt_tone_lag1,0.011834319526627168,0.004950651044580354
gdelt_goldstein,0.01065088757396444,0.013310321750534902
oil_return_lag1,0.007692307692307642,0.009467455621301742
ret_mean_20,0.007100591715976279,0.006092088840820716
momentum_10,0.007100591715976279,0.004013213007766412
bb_width,0.006508875739644937,0.005423166502906294
month_cos,0.006508875739644915,0.003924999751899865
sp500_return_lag1,0.006508875739644915,0.006317797782267047
bb_upper,0.005917159763313529,0.00324096187872881
fatalities_log1p,0.005325443786982187,0.003924999751899871
oil_return_lag5,0.004733727810650868,0.007623727057233791
momentum_20,0.004142011834319459,0.002366863905325417
gdelt_goldstein_7d,0.004142011834319459,0.003017171309818201
month_sin,0.004142011834319459,0.003017171309818201
momentum_5,0.0035502958579881174,0.006317797782267035
ma_20,0.0035502958579880727,0.001183431952662728
gdelt_tone_30d,0.0029585798816567756,0.009901302089160662
bb_lower,0.002958579881656731,0.0018711702131173587
day_of_week_cos,0.0023668639053254113,0.004348206643993778
fatalities_7d_log1p,0.0023668639053254113,0.0068496076347870985
production_change_pct_slog1p,0.002366863905325389,0.003924999751899858
bb_position,0.0017751479289940474,0.0048071233163526125
gdelt_volume_lag1_log1p,0.0011834319526626835,0.015039366896022284
price_vs_ma20,0.0011834319526626614,0.00664199536113716
price_vs_ma50,0.0011834319526626614,0.008696413287987608
macd_cross,0.0,0.0
ma_10,0.0,0.0
ma_20_50_cross,0.0,0.0
ma_50,0.0,0.0
inventory_zscore,0.0,0.0
ma_10_20_cross,0.0,0.0
ma_5,0.0,0.0
vix_return_lag1,0.0,0.0
macd_signal,-4.4408920985006264e-17,0.008156241865142137
usd_return,-6.661338147750939e-17,0.01227008364102233
gdelt_events_log1p,-0.0017751479289941363,0.005158460288213787
macd,-0.002366863905325478,0.002898804429329179
rsi_14,-0.002366863905325478,0.0034502673933995693
ma_5_10_cross,-0.0035502958579881837,0.0022139984537124027
day_of_week_sin,-0.003550295857988206,0.006034342619636438
net_imports_change_pct_slog1p,-0.00414201183431957,0.005487348222186806
vix_return_slog1p,-0.00591715976331364,0.00324096187872881
ret_mean_5,-0.00591715976331364,0.0018711702131173939
vix_lag1_log1p,-0.00591715976331364,0.004950651044580354
inventory_change_pct,-0.005917159763313662,0.005613510639352146
conflict_intensity_7d_log1p,-0.006508875739645004,0.0034502673933996036
conflict_event_count_log1p,-0.006508875739645004,0.004348206643993829
ret_std_20,-0.0071005917159763675,0.006092088840820741
gdelt_tone_7d,-0.014792899408284054,0.0062059695157996924
