feature,group,dtype,missing_pct,n_unique,train_mean,train_std,test_mean,test_std,skew,kurtosis,outlier_pct_iqr,train_test_ks,train_test_ks_p
day_of_week_cos,Calendar,float64,0.0,5,-0.000777,0.707381,-0.0,0.707528,0.00186,-1.501403,0.0,0.000576,1.0
day_of_week_sin,Calendar,float64,0.0,5,0.0,0.707172,0.0,0.707528,0.0,-1.500813,0.0,0.000192,1.0
month_cos,Calendar,float64,0.0,12,-0.006784,0.706564,0.052922,0.716648,0.011661,-1.498622,0.0,0.046929,0.137793
month_sin,Calendar,float64,0.0,11,-0.002565,0.707951,0.022405,0.695917,0.010872,-1.502527,0.0,0.029312,0.668719
conflict_event_count_log1p,Conflict,float64,0.0,619,4.885679,0.91001,5.423993,0.6801,-0.867638,2.234207,24.4,0.328462,0.0
conflict_intensity_7d_log1p,Conflict,float64,0.0,1652,7.013093,0.705883,7.580502,0.368882,-2.045486,4.125882,12.584,0.421346,0.0
fatalities_7d_log1p,Conflict,float64,0.0,1850,7.020344,0.822667,6.676949,0.922174,-0.761277,1.033937,2.209,0.227378,0.0
fatalities_log1p,Conflict,float64,0.0,617,4.833146,1.092146,4.477562,1.091641,-0.54677,1.488328,1.825,0.175484,0.0
gdelt_events_log1p,GDELT,float64,0.0,2610,9.456728,0.457384,9.479182,0.38902,-0.467962,-0.07384,0.24,0.165497,0.0
gdelt_goldstein,GDELT,float64,0.0,2808,0.223417,0.468467,-0.1043,0.67543,-0.298258,1.16728,2.786,0.299451,0.0
gdelt_goldstein_7d,GDELT,float64,0.0,2916,0.222294,0.380804,-0.095676,0.588491,-0.081689,0.891059,2.882,0.330112,0.0
gdelt_tone_30d,GDELT,float64,0.0,2922,-2.631454,0.794395,-3.244271,0.64239,4.233216,22.731999,2.594,0.470502,0.0
gdelt_tone_7d,GDELT,float64,0.0,2916,-2.658821,0.791907,-3.255119,0.74146,3.675444,21.308926,2.546,0.445876,0.0
gdelt_tone_lag1,GDELT,float64,0.0,2808,-2.663219,0.847474,-3.260102,0.839358,2.961189,16.352762,3.554,0.383724,0.0
gdelt_volume_lag1_log1p,GDELT,float64,0.0,2784,2.549427,0.051912,2.547324,0.045594,-0.546567,0.030683,0.336,0.167401,0.0
yield_spread,Macro,float64,0.0,275,0.697666,0.533666,-0.053429,0.511272,-0.24524,-0.48421,0.0,0.49952,0.0
oil_return,Market,float64,0.0,2805,0.000578,0.026267,0.000523,0.019587,-0.389037,12.123599,6.484,0.047166,0.134144
oil_return_lag1,Market,float64,0.0,2805,0.000565,0.026279,0.000495,0.019588,-0.388535,12.097312,6.484,0.047646,0.12698
oil_return_lag2,Market,float64,0.0,2805,0.000543,0.026309,0.000434,0.01955,-0.390094,12.038565,6.532,0.048127,0.120132
sp500_return,Market,float64,0.0,2816,0.000382,0.011675,0.000685,0.009192,-0.532136,14.980644,8.742,0.039773,0.290559
usd_return,Market,float64,0.0,2773,7e-05,0.004381,-4.5e-05,0.004151,-0.080271,1.978403,3.65,0.036915,0.377198
vix_lag1_log1p,Market,float64,0.0,1467,2.921136,0.339257,2.881762,0.202305,0.67055,0.520392,0.865,0.180537,0.0
vix_return_slog1p,Market,float64,0.0,2801,0.002259,0.077554,0.002197,0.071488,1.664074,8.553719,4.803,0.044518,0.179727
inventory_change_pct,Supply,float64,0.0,585,-0.000632,0.00522,0.000525,0.006636,0.258581,0.499221,1.441,0.152017,0.0
inventory_zscore,Supply,float64,0.0,2921,-0.202666,1.469671,0.177856,1.155249,0.306698,-1.041055,0.0,0.235797,0.0
net_imports_change_pct_slog1p,Supply,float64,0.0,601,-0.056897,0.823804,0.111344,0.603635,0.341127,6.568363,14.121,0.130191,0.0
production_change_pct_slog1p,Supply,float64,0.0,352,0.00086,0.0194,0.000828,0.010364,-0.223216,17.481308,10.807,0.161057,0.0
