feature,MI,abs_sp,MI_n,abs_sp_n,mix_score
bb_width,0.024112070983685285,0.025191552241563744,1.0,0.35116988678947425,0.6755849433947372
day_of_week_sin,0.008152148373483659,0.07173608327261283,0.3380940765726663,1.0,0.6690470382863332
conflict_event_count_log1p,0.008051816273566548,0.06434307524056455,0.33393300305952855,0.8969415711762068,0.6154372871178677
gdelt_tone_30d,0.008005793868048894,0.05641051049541114,0.3320243156826212,0.7863617292993101,0.5591930224909657
macd_signal,0.01283361715828546,0.038851210428989466,0.5322486470352938,0.5415853313505612,0.5369169891929275
gdelt_volume_lag1_log1p,0.00975025084395309,0.04557863961976491,0.40437218563889876,0.6353656004127811,0.5198688930258399
ma_5_10_cross,0.010437614438568943,0.04165913881026477,0.43287921828163345,0.5807278138109508,0.5068035160462921
day_of_week_cos,0.014860053486150715,0.02819191493113622,0.6162910475921097,0.3929949008227947,0.5046429742074522
yield_spread,0.02125699832773309,0.007200240727210416,0.8815915622559342,0.10037125528373113,0.49098140876983265
gdelt_tone_7d,0.005391043248539784,0.05301448142902767,0.22358275455424267,0.7390211314933522,0.4813019430237975
momentum_5,0.02152388965381613,0.003263411044398746,0.8926603471091151,0.04549190442970059,0.4690761257694079
inventory_zscore,0.010279747905626468,0.03584967806581911,0.42633201903652135,0.49974401208360486,0.4630380155600631
conflict_intensity_7d_log1p,0.0,0.06589526752151452,0.0,0.9185791099173629,0.45928955495868146
inventory_change_pct,0.0,0.06248174583548355,0.0,0.8709946652375657,0.4354973326187829
ma_10,0.01360000107883419,0.019083568254321052,0.5640328899179264,0.26602467522236073,0.4150287825701436
fatalities_7d_log1p,0.0118383772084103,0.023897276174042602,0.49097305728820995,0.33312769646521845,0.4120503768767142
gdelt_goldstein,0.002453752976645074,0.050427591543741046,0.10176450535108879,0.7029599225832438,0.4023622139671663
fatalities_log1p,0.003405988783723224,0.04754729403691976,0.14125658414110445,0.6628086155223952,0.4020325998317498
gdelt_goldstein_7d,0.0003562458544101865,0.05483923852006021,0.014774585503303706,0.7644582198843933,0.3896164026938485
gdelt_tone_lag1,0.0,0.05335358205825496,0.0,0.7437481895338454,0.3718740947669227
rsi_14,0.0077524189545363775,0.029469743169004598,0.3215160970528753,0.4108078086311615,0.3661619528420184
oil_return_lag5,0.017107517806386863,0.0005682611181841977,0.7095001428107173,0.007921552059438218,0.35871084743507775
sp500_return_lag1,0.005476912477115903,0.032043048525945764,0.22714400935621384,0.4466796494056577,0.3369118293809358
month_sin,0.0,0.04639229548435883,0.0,0.6467079518135657,0.32335397590678283
ret_std_5,0.006055023578862784,0.025643964473242985,0.25112001299928716,0.35747650698728983,0.3042982599932885
oil_return_lag1,0.0,0.042799262280764104,0.0,0.5966211190833702,0.2983105595416851
macd_cross,0.00817709979076664,0.016147277844999215,0.3391288867845251,0.2250928278818349,0.28211085733318
ret_mean_20,0.0,0.03677884377084254,0.0,0.5126965690484505,0.25634828452422526
momentum_20,0.0,0.035743919451854296,0.0,0.4982697384804182,0.2491348692402091
sp500_return,0.00427601944413869,0.0227679814346111,0.1773393686105159,0.3173853435528085,0.2473623560816622
price_vs_ma50,0.002188471887460075,0.028595974854824083,0.09076250185812904,0.3986274905217938,0.24469499618996143
macd,0.0,0.034447955737381054,0.0,0.48020402238119525,0.24010201119059763
vix_return_slog1p,0.009911083700302026,0.0045662137136529704,0.41104240722450036,0.06365295546315734,0.23734768134382886
gdelt_events_log1p,0.0,0.03165038888329306,0.0,0.44120597946523854,0.22060298973261927
oil_return,0.0,0.030808686633453604,0.0,0.4294726618454181,0.21473633092270905
ma_10_20_cross,0.0,0.028142089158185595,0.0,0.39230033024300326,0.19615016512150163
production_change_pct_slog1p,0.0,0.027767595395467214,0.0,0.3870798924154288,0.1935399462077144
net_imports_change_pct_slog1p,0.0,0.02760729622424779,0.0,0.3848453242050311,0.19242266210251555
ma_50,0.004063576701605065,0.012182393945807696,0.16852873004374294,0.16982240164286544,0.16917556584330418
bb_lower,0.0009773416542593338,0.020382049881114594,0.04053329367355558,0.28412549098420026,0.16232939232887791
oil_return_lag3,0.0,0.02237625240504049,0.0,0.3119246463457704,0.1559623231728852
ma_20_50_cross,0.0,0.019121167401279764,0.0,0.2665488068064037,0.13327440340320185
ma_5,0.0,0.019026492278199608,0.0,0.2652290369115187,0.13261451845575936
ma_20,0.0,0.017792640695046606,0.0,0.24802916305634745,0.12401458152817373
ret_mean_5,0.004914564307543667,0.0029175969006609258,0.2038217418515797,0.04067126009059372,0.1222465009710867
oil_return_lag2,0.005355768264831529,0.0012624309256951346,0.2221197950377365,0.017598269491486185,0.11985903226461134
ret_std_20,0.0,0.01601153005095149,0.0,0.22320050552668408,0.11160025276334204
bb_upper,0.0,0.014112070364089268,0.0,0.1967220639919845,0.09836103199599225
macd_hist,0.0036624604316983778,0.0002509670516185506,0.15189323364950577,0.003498477198215866,0.07769585542386082
month_cos,0.0,0.010434622413372702,0.0,0.14545849086461624,0.07272924543230812
usd_return,0.0,0.00971501035624595,0.0,0.1354271088278793,0.06771355441393966
bb_position,0.0,0.009416720241165615,0.0,0.1312689487852301,0.06563447439261505
momentum_10,0.0,0.004806144950290849,0.0,0.06699759355450792,0.03349879677725396
price_vs_ma20,0.0,0.0046743662557314665,0.0,0.06516060039085005,0.03258030019542502
vix_lag1_log1p,0.0,0.00047507506918635374,0.0,0.006622539836485976,0.003311269918242988
vix_return_lag1,0.0,,0.0,,
