Case,Ranking,Subset,N,CV_Acc
MI_TOP_70,mi,TOP_70,70,0.5449704142011834
MI_SPEARMAN_TOP_40,mi_spearman,TOP_40,40,0.5390532544378699
SPEARMAN_TOP_25,spearman,TOP_25,25,0.5390532544378698
SPEARMAN_TOP_50,spearman,TOP_50,50,0.5372781065088758
SPEARMAN_TOP_60,spearman,TOP_60,60,0.5355029585798816
MI_SPEARMAN_TOP_60,mi_spearman,TOP_60,60,0.5349112426035502
MI_TOP_50,mi,TOP_50,50,0.5325443786982248
MI_TOP_30,mi,TOP_30,30,0.5325443786982248
SPEARMAN_TOP_30,spearman,TOP_30,30,0.5301775147928993
SPEARMAN_TOP_15,spearman,TOP_15,15,0.5295857988165681
MI_SPEARMAN_TOP_50,mi_spearman,TOP_50,50,0.5284023668639053
MI_SPEARMAN_TOP_30,mi_spearman,TOP_30,30,0.5260355029585798
SPEARMAN_TOP_20,spearman,TOP_20,20,0.5254437869822486
MI_SPEARMAN_TOP_70,mi_spearman,TOP_70,70,0.5242603550295858
MI_TOP_40,mi,TOP_40,40,0.5230769230769231
MI_TOP_25,mi,TOP_25,25,0.5224852071005918
SPEARMAN_TOP_70,spearman,TOP_70,70,0.521301775147929
SPEARMAN_TOP_40,spearman,TOP_40,40,0.521301775147929
MI_SPEARMAN_TOP_10,mi_spearman,TOP_10,10,0.5207100591715977
ALL_82,all,ALL_82,82,0.5207100591715976
MI_TOP_20,mi,TOP_20,20,0.5207100591715976
MI_TOP_60,mi,TOP_60,60,0.5183431952662721
MI_TOP_15,mi,TOP_15,15,0.5142011834319526
MI_SPEARMAN_TOP_25,mi_spearman,TOP_25,25,0.5136094674556213
MI_SPEARMAN_TOP_15,mi_spearman,TOP_15,15,0.51301775147929
SPEARMAN_TOP_10,spearman,TOP_10,10,0.5100591715976333
MI_SPEARMAN_TOP_20,mi_spearman,TOP_20,20,0.5088757396449705
MI_TOP_10,mi,TOP_10,10,0.504733727810651
