feature,importance
oil_return_lag1,0.0634045944520801
oil_return,0.056823602689946386
oil_volatility_7d,0.047390534770507364
oil_return_lag2,0.044507663177160636
vix_return,0.04448010660054338
geopolitical_stress_index,0.04023449992891292
sp500_return,0.03995638663954784
gdelt_tone_30d,0.037235480944836
usd_return,0.03614751739549184
gdelt_tone_lag1,0.03399872524571171
fatalities_7d,0.03318610198902509
conflict_intensity_7d,0.032093427420431746
net_imports_change_pct,0.030909410265877627
vix_lag1,0.029240466144818844
gdelt_goldstein,0.028468093513034375
gdelt_goldstein_7d,0.028043479738321365
fatalities,0.026952116166810338
gdelt_volume_lag1,0.02635088745536706
inventory_zscore,0.02499515760072083
inventory_change_pct,0.02368796391299748
yield_spread,0.0232266224767432
gdelt_events,0.02304889599584403
gdelt_volume_log,0.022396087259395858
gdelt_tone_7d,0.021754240229135507
conflict_event_count,0.02116875434900589
production_change_pct,0.020627951898755412
net_imports_weekly,0.020434258845766048
gdelt_volume_7d,0.020400972550372695
day_of_week,0.02031886326152878
gdelt_tone,0.01863525092819029
crude_inventory_weekly,0.009806413778244849
fed_funds_rate_lag,0.009716762154717389
month,0.009040565141094371
unemployment_lag,0.0075703777954719996
crude_production_weekly,0.005290289988961863
real_rate,0.005149736062905165
cpi_lag,0.004327468420919234
cpi_yoy,0.0042336965959045465
fed_rate_change,0.004121322720973089
gdelt_tone_spike,0.00022716226337794884
fed_rate_regime,0.00021555271549054882
media_attention_spike,0.00017975587808927572
recession_signal,2.7826369690444574e-06
