Case,Ranking,Subset,N,CV_Acc,Val_Acc,Val_F1m
MI_TOP_60,mi,TOP_60,60,0.49694915254237293,0.5769230769230769,0.5606758832565284
MI_TOP_50,mi,TOP_50,50,0.4901694915254238,0.5769230769230769,0.543859649122807
SPEARMAN_TOP_70,spearman,TOP_70,70,0.49898305084745764,0.5576923076923077,0.5475113122171946
MI_SPEARMAN_TOP_70,mi_spearman,TOP_70,70,0.4901694915254238,0.5576923076923077,0.5353607558546098
MI_TOP_70,mi,TOP_70,70,0.5050847457627119,0.5576923076923077,0.5220511836826036
ALL_82,all,ALL_82,82,0.5057627118644068,0.5538461538461539,0.5367127496159755
SPEARMAN_TOP_60,spearman,TOP_60,60,0.495593220338983,0.5461538461538461,0.5327729044834308
MI_SPEARMAN_TOP_30,mi_spearman,TOP_30,30,0.5145762711864407,0.5461538461538461,0.5301396716491056
MI_SPEARMAN_TOP_50,mi_spearman,TOP_50,50,0.504406779661017,0.5423076923076923,0.5407792207792208
MI_TOP_40,mi,TOP_40,40,0.5098305084745762,0.5423076923076923,0.5076306115628829
MI_SPEARMAN_TOP_60,mi_spearman,TOP_60,60,0.511864406779661,0.5384615384615384,0.5160089352196575
SPEARMAN_TOP_30,spearman,TOP_30,30,0.49830508474576274,0.5346153846153846,0.5315594335829896
MI_TOP_15,mi,TOP_15,15,0.49627118644067797,0.5346153846153846,0.5315594335829896
MI_SPEARMAN_TOP_10,mi_spearman,TOP_10,10,0.49830508474576274,0.5346153846153846,0.4971147237008264
MI_TOP_25,mi,TOP_25,25,0.47186440677966096,0.5307692307692308,0.528509423865866
MI_SPEARMAN_TOP_20,mi_spearman,TOP_20,20,0.504406779661017,0.5307692307692308,0.50050390526581
MI_TOP_20,mi,TOP_20,20,0.5030508474576272,0.5269230769230769,0.5263555443652898
MI_TOP_30,mi,TOP_30,30,0.4928813559322034,0.5269230769230769,0.522508398656215
SPEARMAN_TOP_50,spearman,TOP_50,50,0.49762711864406783,0.5269230769230769,0.5191772789463397
MI_SPEARMAN_TOP_40,mi_spearman,TOP_40,40,0.5064406779661017,0.5269230769230769,0.5171445395660642
MI_SPEARMAN_TOP_25,mi_spearman,TOP_25,25,0.49898305084745764,0.5269230769230769,0.5047619047619049
SPEARMAN_TOP_40,spearman,TOP_40,40,0.49966101694915255,0.5230769230769231,0.521690107412023
SPEARMAN_TOP_15,spearman,TOP_15,15,0.49762711864406783,0.5230769230769231,0.4613739641807003
SPEARMAN_TOP_20,spearman,TOP_20,20,0.4928813559322034,0.5153846153846153,0.48412698412698413
SPEARMAN_TOP_25,spearman,TOP_25,25,0.47728813559322036,0.5115384615384615,0.49199218449514615
SPEARMAN_TOP_10,spearman,TOP_10,10,0.5098305084745762,0.5076923076923077,0.37998360533571807
MI_SPEARMAN_TOP_15,mi_spearman,TOP_15,15,0.5016949152542373,0.5,0.43857550993289485
MI_TOP_10,mi,TOP_10,10,0.5057627118644068,0.49615384615384617,0.4845563643517608
