Scheme,Model,Inner_Accuracy,Inner_F1_macro,Inner_AUC
exp_hl100,XGB,0.5976331360946746,0.5683755868544601,0.598661326025087
uniform,LGBM,0.591715976331361,0.5913582842724979,0.6008924493166087
linear_01,LGBM,0.5798816568047337,0.5798816568047338,0.5647377112539966
step_50pct_3x,XGB,0.5739644970414202,0.5730076850194756,0.6027897825093989
step_50pct_2x,GBM,0.5739644970414202,0.5730076850194756,0.5823056111872387
exp_hl250,XGB,0.5710059171597633,0.5696460402342756,0.5916517339517234
linear_03,XGB,0.5680473372781065,0.5619118639252867,0.5853272899757563
exp_hl500,LGBM,0.5650887573964497,0.5649021410744779,0.5592565264748252
exp_hl250,LGBM,0.5650887573964497,0.564780182721197,0.5892624995608025
step_30pct_3x,LGBM,0.5650887573964497,0.5647801827211969,0.5815677593900426
linear_05,LGBM,0.5650887573964497,0.5639857838620508,0.5753838586135414
step_30pct_3x,GBM,0.5621301775147929,0.5620688447666071,0.5864867713713503
linear_03,LGBM,0.5591715976331361,0.5591368669847245,0.5687783282386423
uniform,XGB,0.5562130177514792,0.5554503367003366,0.5902814377569305
linear_01,GBM,0.5532544378698225,0.5499413595760253,0.5732054390218193
exp_hl1000,GBM,0.5532544378698225,0.5436638859830298,0.5961491163346333
step_50pct_2x,LGBM,0.5502958579881657,0.5492858897427799,0.5799163767963178
step_50pct_2x,XGB,0.5502958579881657,0.54871578651488,0.5852218825761568
exp_hl1000,XGB,0.5473372781065089,0.5418471760797342,0.5667755876462528
uniform,GBM,0.5473372781065089,0.5398905645268918,0.5693756368363726
step_30pct_3x,XGB,0.5443786982248521,0.5416666666666666,0.591476054952391
linear_05,GBM,0.5443786982248521,0.5324446680080482,0.578124451003127
linear_05,XGB,0.5414201183431953,0.5380192763859863,0.5607322300692175
exp_hl1000,LGBM,0.5384615384615384,0.5378790534618756,0.5605565510698851
linear_03,GBM,0.5384615384615384,0.5263725208393216,0.5831840061839008
exp_hl500,XGB,0.5355029585798816,0.5353036472700206,0.5688134640385089
step_50pct_3x,GBM,0.5355029585798816,0.5351733924301219,0.5688485998383752
linear_01,XGB,0.5325443786982249,0.5324789018454319,0.5560591686869752
step_50pct_3x,LGBM,0.5295857988165681,0.526998125313548,0.5814272161905766
exp_hl250,GBM,0.5236686390532544,0.5231636041814534,0.5377885527564035
exp_hl500,GBM,0.5236686390532544,0.521048416197995,0.557429464881768
exp_hl100,LGBM,0.5207100591715976,0.5051155055854814,0.5876813885668107
exp_hl100,GBM,0.5029585798816568,0.475,0.5641404026562664
